Year	Alabama	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District Of Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
1900	1830	124	1314	1490	543	910	185	278	530	2220	163	4828	2518	2231	1473	2148	1384	695	1189	2788	2423	1754	1553	3108	245	1067	43	412	1884	196	7283	1897	321	4161	800	415	6313	430	1342	403	2023	3055	277	344	1858	523	959	2072	93
1901	1907	131	1341	1550	581	931	187	285	544	2263	176	4914	2541	2227	1490	2162	1412	699	1200	2794	2450	1805	1578	3128	261	1078	45	412	1889	206	7449	1926	346	4216	916	434	6439	441	1361	418	2041	3132	284	347	1887	583	972	2109	100
1902	1935	138	1360	1623	621	952	188	290	565	2305	199	4992	2567	2222	1505	2177	1440	703	1210	2856	2477	1862	1603	3147	270	1089	49	409	1917	218	7612	1956	371	4322	1027	454	6567	450	1379	431	2060	3210	292	349	1894	651	1000	2141	105
1903	1957	144	1384	1702	652	972	190	295	587	2346	216	5071	2594	2217	1498	2191	1467	709	1209	2924	2505	1901	1628	3166	282	1104	52	394	1969	229	7771	1986	396	4386	1118	479	6699	460	1397	437	2082	3291	299	350	1890	719	1037	2171	108
1904	1978	151	1419	1792	659	987	192	302	599	2387	229	5161	2614	2212	1527	2205	1495	719	1217	2969	2534	1945	1653	3185	293	1119	56	407	2050	242	7927	2017	421	4458	1200	504	6833	471	1415	452	2086	3374	308	353	1889	782	1064	2202	111
1905	2012	158	1447	1893	680	1010	194	308	615	2427	246	5241	2635	2211	1555	2220	1523	723	1237	3018	2579	1981	1678	3204	305	1129	59	423	2151	255	8084	2051	446	4530	1277	530	6970	481	1433	461	2111	3459	316	354	1917	842	1094	2231	114
1906	2045	167	1465	1976	707	1033	196	313	628	2466	262	5309	2663	2214	1576	2234	1551	729	1251	3107	2626	1987	1703	3223	322	1138	64	415	2239	269	8289	2077	474	4587	1349	555	7110	492	1451	477	2136	3546	327	355	1942	904	1122	2250	118
1907	2058	176	1484	2054	733	1057	197	317	645	2505	277	5384	2679	2217	1612	2249	1579	731	1257	3183	2693	1995	1728	3242	332	1149	68	423	2314	283	8499	2105	501	4630	1414	580	7253	505	1468	498	2136	3636	339	355	1952	967	1149	2268	125
1908	2070	186	1513	2161	757	1077	199	321	684	2543	291	5474	2677	2220	1629	2263	1607	735	1269	3251	2722	2020	1753	3260	346	1161	73	428	2403	298	8714	2142	528	4677	1498	610	7398	519	1485	527	2164	3727	351	354	1994	1028	1174	2292	133
1909	2108	196	1545	2282	775	1097	201	327	724	2580	311	5567	2678	2223	1658	2278	1634	740	1289	3316	2771	2051	1777	3279	363	1177	78	431	2487	314	8935	2174	555	4701	1585	643	7546	532	1502	553	2177	3821	363	356	2038	1091	1203	2317	141
